"endef","mmdef"
"A","Alpha"
"absent without leave","ခြင့္မဲ့ပ်က္ကြက္ျခင္း"
"absolute control of air","ေလေၾကာင္းစစ္အၾကြင္းမဲ့ခိုင္ၿမဲမွု"
"acclimatize","ရာသီဥတုခံႏိုင္သည္။"
"accommodation","ေနရာထိုင္ခင္း"
"accounts","ေငြစာရင္း"
"acknowledge","ရေၾကာင္းျပန္"
"acknowledge message","ရေၾကာင္းေၾကးနန္းစာ"
"acquitted","တရားေသလႊတ္သည္"
"acting","ေခတၱထမ္းရြက္ျခင္း"
"acting rank(e.g.Acting Corporl)","ေခတၱရာထူး(ဥပမာ-ေခတၱတပ္ၾကပ္)"
"action","တိုက္ပြဲ၊ အေရးယူျခင္း၊ တိုက္ခိုက္မွု၊ လုပ္ေဆာင္မွု"
"active service","တန္းျပည့္စစ္မွုထမ္း"
"additional troops/units","ထပ္ျဖည့္တပ္မ်ား"
"ad hoc","က်ပန္း"
"adjacent Units","ေဘးခ်င္းကပ္တပ္မ်ား"
"administration"," အုပ္ခ်ဳပ္ေရး  အုပ္ခ်ဳပ္မွု"
"administrative approval","အုပ္ခ်ဳပ္မွု အတည္ျပဳခ်က္"
"administrative area(General)","အုပ္ခ်ဳပ္မွုတပ္မ်ားေနရာ"
"administrative arrangements","အုပ္ခ်ဳပ္မွု အစီအစဥ္မ်ား"
"administrative boundaries","အုပ္ခ်ဳပ္မွု နယ္နိမိတ္မ်ား"
"administrative command(Authority)","အုပ္ခ်ဳပ္မွု အာဏာ"
"administrative command(HQ)","အုပ္ခ်ဳပ္မွု ဌာနခ်ဳပ္(ရုံး)"
"administrative conference","အုပ္ခ်ဳပ္မွု အစည္းအေဝးမ်ား"
"administrative detail","အုပ္ခ်ဳပ္မွု အေသးစိတ္"
"administrative group","အုပ္ခ်ဳပ္မွု တပ္အစု"
"administrative installation","အုပ္ခ်ဳပ္မွု အေဆာက္အအံု"
"administrative intention","အုပ္ခ်ဳပ္မွု ရည္မွန္းခ်က္"
"administrative layout","အုပ္ခ်ဳပ္မွု တပ္အေနအထား"
"administrative order","အုပ္ခ်ဳပ္မွု အမိန္႕"
"administrative pamphlet(Instructions)","အုပ္ခ်ဳပ္မွု စာေစာင္(ညႊန္႕ၾကားခ်က္မ်ား)"
"administrative plan","အုပ္ခ်ဳပ္မွု စီမံခ်က္"
"administrative regrouping","အုပ္ခ်ဳပ္မွု ျပန္လည္စုဖြဲ႕ျခင္း"
"administrative service","အုပ္ခ်ဳပ္မွု ဝန္ထမ္းတပ္မ်ား"
"Administrative staff","အုပ္ခ်ဳပ္မွု ဦးစီးအဖြဲ႕"
"administrative unit","အုပ္ခ်ဳပ္မွု တပ္"
"advance(in Movement Formation)","ခ်ီတက္ျခင္း"
"advance(in Tactical Formation)","ခ်ီစစ္(နည္းဗ်ဴဟာေျမာက္)"
"advance(in Dressing Station)","ေရွ႕ေျပးေဆးထည့္စခန္း"
"advance (Guard)","ေရွ႕ရံတပ္"
"advance money","စရံေငြ"
"advance movements by bounds","တစ္ေထာက္ၿပီး တစ္ေထာက္ ခ်ီတက္ျခင္း ၊တစ္ဆင့္စီ တက္ျခင္း၊တစ္ဆင့္ျပီးမွ တစ္ဆင့္တက္ျခင္း"
"advance of pay","ႀကိဳတင္လစာ"
"advance to contact","ရင္ဆိုင္ရန္ ခ်ီတက္ျခင္း"
"advance with great momentum","တဟုန္ထိုး စစ္ခ်ီျခင္း၊ တရွိန္ထိုး ခ်ီတက္ျခင္း"
"advertisement","ေၾကာ္ျငာ"
"a echelon","(က)ယာဥ္စု"
"affirmed(Legal)","သစၥာျပဳသည္"
"aggressive","တိုက္လို ခိုက္လိုစိတ္ ျပင္းျပစြာျဖင့္"
"aim, intention","ရည္ရြယ္ခ်က္"
"aiming disc","ခ်ိန္နည္းသင္ျပား"
"aiming point","ခ်ိန္မွတ္"
"aiming post","ခ်ိန္တိုင္"
"airborne assault","ေလေၾကာင္းမွဆင္း၍ တိုက္စစ္၊ ေလေၾကာင္းဆင္းတိုက္စစ္"
"airborne troops","ေလေၾကာင္းခ်ီ တပ္မ်ား"
"airburst (Arty)","ေလကြဲ"
"air contact team(ACT)","ေလေၾကာင္းဆက္သြယ္ေရးအဖြဲ႕"
"air drop","ေလေၾကာင္းျဖင့္ ခ်ေပးျခင္း"
"air freight from(Manifest)","ေလေၾကာင္းကုန္တင္ပံုစံ"
"airhead","ေလေၾကာင္းလမ္းဆံု၊ ေလေၾကာင္္းေျခကုတ္စခန္း"
"air landed troops","ေလေၾကာင္းမွဆင္းသည့္တပ္မ်ား"
"air liaison officer","ေလေၾကာင္းဆက္ဆံေရးအရာရွိ"
"air lift","ေလယာဥ္ျဖင့္သယ္ယူျခင္း"
"air observation post(Air OP)","ေလေၾကာင္း/ေလယာဥ္စီးအကဲၾကည့္"
"airport","ေလဆိပ္"
"air superiority","ေလေၾကာင္းအေရးသာျခင္း"
"air support","ေလေၾကာင္းအကူ"
"air support signal unit(Tentacle)(ASSU)","ေလေၾကာင္း ဆက္သြယ္ေရးတပ္(တပ္ဆြယ္)"
"air supremacy","ေလေၾကာင္း စိုးမိုးျခင္း"
"air transported troops","ေလယာဥ္တင္တပ္မ်ား"
"all clear signar(Air)","ေအးေစ အခ်က္ေပး(ေလေၾကာင္းရန္)"
"all round defence","ပတ္လည္ ခံစစ္"
"all round tranverse","စက္ဝိုင္းျပည့္လွည့္ႏုိင္ျခင္း"
"allocation","ခြဲေ၀ေပးျခင္း"
"allotment, family","လစာမွ အိမ္ေထာင္စုအတြက္ ခြဲထုပ္ေပးေငြ"
"allowance","စရိတ္"
"allowance, conveyance","ပို႕ေဆာင္ေရး စရိတ္"
"allowance, cost of living","ရွားပါး စရိတ္"
"allowance, deputation","ဌာနျခားအမွုထမ္း စရိတ္"
"allowance, entertainment","ဧည့္ခံ စရိတ္"
"allowance, furniture","ပရိေဘာဂ စရိတ္"
"allowance, lodging","အိမ္လခ စရိတ္"
"allowance, mufti","အရပ္၀တ္စံု စရိတ္"
"allowance, officiating","တာ၀န္တိုးယူေဆာင္ရြက္ရသည့္စရိတ္"
"allowance, outfit","အရာရွိ၀တ္စံု စရိတ္"
"allowance, ration","ရိကၡာ စရိတ္"
"allowance, traveling","ခရီး စရိတ္"
"allowance, uniform","စစ္၀တ္စံု စရိတ္"
"allowance, officer/other ranks","အရာရွိမ်ားႏွင့္ စစ္သည္မ်ားဧ။္ အပိုေၾကးမ်ား"
"ambush","ခ်ံဳခိုတိုက္ပြဲ၊ ခ်ံဳခိုတိုက္ခိုက္ျခင္း"
"amendment","ျပင္ဆင္ခ်က္"
"amenities","သက္သာေခ်ာင္ခ်ိမွု ဆိုင္ရာကိစၥမ်ား"
"ammunition","ခဲယမ္းမီးေက်ာက္"
"ammunition point","က်ည္ေ၀စခန္း"
"amphibious observation regiment","ကုန္းေရးႏွစ္သြယ္ ရွာေဖြေရး တပ္ရင္း"
"amphibious tanks","ကုန္းေရသြား တင့္ကားမ်ား"
"amphibious task force","ကုန္းေရႏွစ္သြယ္ တပ္ဖြဲ႕"
"amphibious troops","ၾကည္းေရႏွစ္သြယ္ တပ္မ်ား"
"analysis","ေ၀ဖန္ဆန္းစစ္မႈ၊ သေဘာသရုပ္ခြဲမႈ"
"ancillary","အေထြေထြ၊ အတိုအထြာ"
"angle","ေထာင့္"
"annual incerment","ႏွစ္တိုးလစာ"
"annual report","ႏွစ္ခ်ဳပ္အစီရင္ခံစာ"
"anti-gas clothing","ဓါတ္ေငြ႕ကာ၀တ္စံု"
"anti-personal mine(AP)","လူသတ္မိုင္း"
"anti-tank defence","တင့္ကားရန္ ကာကြယ္ေရး"
"anti-tank mine","တင့္ဖ်က္မိုင္း"
"anticipation","တင္ကူးသိျမင္ျခင္း"
"appendix","ေနာက္ဆက္တြဲ"
"application of fire","ပစ္အားသံုးနည္း"
"appointment","ရာထူး"
"appreciation","အေျခအေနသံုးသပ္ခ်က္"
"approach","ခ်ဥ္းကပ္ျခင္း"
"approval","အတည္ျပဳခ်က္"
"arbitrary","အလိုရွိသလို ျပဳလုပ္ေသာ"
"area defence","နယ္အလိုက္ခံစစ္"
"armament and small arms section","လက္နက္ျပင္ ဌာနစိတ္"
"armed forces","လက္နက္ကိုင္တပ္ဖြဲ႕မ်ား"
"armoured","သံခ်ပ္ကာ"
"armoured fighting vehicle(AFV)","သံခ်ပ္ကာ တိုက္ယာဥ္"
"armoured personnel carrier(APC)","သံခ်ပ္ကာ လူတင္ယာဥ္"
"armoured recovery behicle(ARV)","သံခ်ပ္ကာ ျပန္လွန္ရယူေရးယာဥ္"
"armourer","လက္နက္ျပင္"
"army air liaison officer","ၾကည္း-ေလ ဆက္ဆံေရးအရာရွိ"
"army area","တပ္ေတာ္နယ္"
"army group","တပ္ေတာ္စု"
"army troops","တပ္မေတာ္ပိုင္တပ္မ်ား"
"arraigment","တရားခံအား ရုံးေတာ္ ေရွ႕ေမွာက္၌ စြဲခ်က္တင္ျခင္း"
"arrow head formation","ျမားဦးပံု ခ်ီတက္ျခင္း"
"artificial","လူလုပ္ထားေသာ"
"assault","ေခ်မႈန္းျခင္း"
"aassault boat","တိုက္ေလွ"
"assault cable","တိုက္ပြဲသံုး ေၾကးနန္းႀကိဳး"
"assault crossing(River)","ၿဖတ္ေက်ာ္တိုက္စစ္(ျမစ္ကူးတိုက္စစ္)"
"assault gun","ေမာင္းၿပန္ေသနတ္"
"assault wave","ေျခမႈန္းေရးအသုတ္"
"assembly area","စုရပ္"
"assembly of troops and material","တပ္မ်ားႏွင့္ ပစၥည္းမ်ား စုရုံးျခင္း"
"assets, present stock","လက္ရွိပစၥည္း"
"assumption","မွန္းဆခ်က္"
"atomic tactics","အႏုျမဴဆိုင္ရာ နည္းဗ်ဴဟာမ်ား"
"attached","တြဲဖက္ေပးျခင္း"
"attached  personnel","တြဲဖက္ထားသူ"
"attached troops","တြဲဖက္တပ္မ်ား"
"attachment","တြဲဖက္ထားျခင္း"
"attack","တိုက္စစ္"
"attributable to military service","စစ္မႈထမ္းျခင္းႏွင့္ သက္ဆိုင္သည္ဟု မွတ္ယူျခင္း"
"audit objection","စာရင္းစစ္  ကန္႕ကြက္ခ်က္"
"audit report","စာရင္းစစ္ အစီရင္ခံစာ"
"augment","ထပ္ဆင့္ျခင္း"
"authority","အခြင့္အာဏာ၊အာဏာပိုင္"
"authority concerned","သက္ဆိုင္ရာ အာဏာပိုင္"
"automatic weapon","ေမာင္းျပန္ လက္နက္"
"auxiliary, reserve","အရံ"
"auxiliary weapon","အရံလက္နက္"
"avenue, route","လမ္းေၾကာင္း"
"avenues of approach","ခ်ဥ္းကပ္ရန္ လမ္းေၾကာင္း"
"awaiting","ေစာင့္ဆိုင္းေနေသာ"
"award manual","ဆုလက္စြဲက်မ္း"
"away on duty","တာ၀န္ျဖင့္အေ၀းေရာက္ေနျခင္း"
"axis, axes","စစ္ေၾကာင္း"
"B","Bravo"
"b echelon","(ခ)ယာဥ္စု"
"back blast","ေနာက္ထြက္ေလဟုန္"
"back loading point","ေနာက္ပိုင္း ျပန္ပို႕ေနရာ"
"badge of rank","အဆင့္တံဆိပ္မ်ား"
"balance","ဟန္ခ်က္ညီမႈ"
"balanced foce(Tactical Integrity)","ဟန္ခ်က္ညီေသာ အင္အားစု"
"balloon","မိုးပ်ံေဘာလံုး၊ မိုးပ်ံေလအိတ္"
"bank master","ကမ္းေျခအုပ္"
"barge","တုန္ကင္း(ေလွ)"
"barrier, obstacle","အတားအဆီး"
"base","အေျခခ်စခန္း၊ ေျခကုတ္စခန္း"
"base area","အေျခခ်နယ္၊ ေျခကုတ္နယ္"
"basic","အေျခခံ၊ မူလအစ"
"batch","အစု၊ အတြဲ"
"battalion headquarters and above","တပ္ရင္းရံုးႏွင့္ အထက္ဌာနခ်ဳပ္မ်ား"
"battle","တိုက္ပြဲ"
"battle craft","တိုက္ပြဲ ကၽြမ္းက်င္မႈ"
"battle field","စစ္ေျမျပင္၊ စစ္တလင္း"
"battle honours","တိုက္ပြဲ ဂုဏ္ထူးမ်ား"
"battle position","တိုက္ပြဲေနရာ၊ တလင္း"
"battle procedure","တိုက္ပြဲလုပ္ငန္း စည္းမ်ဥ္း"
"beach","ကမ္းေျခ"
"beach-dump","ကမ္းေျခရွိ ပစၥည္းအစုအပံု"
"beach-master","ကမ္းေျခမႈး"
"beach-party","ဆိပ္ကမ္းႀကီးၾကပ္ေရးအဖြဲ႕"
"beach-support area","ကမ္းေျခအုပ္ခ်ဳပ္မႈ ေနရာ"
"bearing","ညႊန္းဒီဂရီ"
"beaten zone","က်ည္က်ေျမ၊ က်ည္ခေျမ"
"bee hive","ပ်ားအံု"
"bi-annnual stock return","(၆)လပတ္ ပစၥည္းရိကၡာစာရင္း"
"bill","ဘီလ္ စာရင္း"
"bill of lading","ေလဒင္စာခ်ဳပ္"
"billet","တပ္တည္းခိုျခင္း"
"biological warfare","ေရာဂါပိုးမ်ားျဖင့္ စစ္ဆင္ျခင္း"
"bivouac","ခရီးနားစခန္း"
"blacksmith","ပန္းဘဲ"
"blind ammunition","က်ည္အ"
"boat of loading point","ေလွမ်ားခ်ရာ ေနရာ"
"boad opening","ေလွမ်ားဖြင့္ရာ ေနရာ"
"bomber aircaft","ဗံုးႀကဲေလယာဥ္"
"booking office","လက္မွတ္ရုံ"
"boot maker","ဘိနပ္ခ်ဳပ္သမား"
"bound","တစ္ေထာက္နားျခင္း"
"bracketing","ကြင္း(ဂြင္း)ပိတ္ျခင္း"
"breach","ပ်က္ကြက္ျခင္း၊ ေဖာက္ထြက္ျခင္း"
"breach of contact","ကတိျပဳရိုက္စာခ်ဳပ္ ေဖာက္ဖ်က္ျခင္း"
"breaching","ေဖာက္ထြက္ျခင္း"
"breaching force","ေဖာက္ထြင္း တပ္ဖြဲ႕"
"break in","ေဖာက္၀င္ျခင္း"
"break out","ေဖာက္ထြက္ျခင္း"
"break through","ခ်ဥ္းနင္း ေဖာက္ထြက္မိျခင္း၊ ေဖာက္ထြက္ျခင္း"
"bridgehead","ေပါင္းကူး ေျခကုတ္"
"briefing","ႏႈတ္ျဖင့္ ညႊန္ၾကားျခင္း၊ အေသးစိတ္ ရွင္းျပျခင္း"
"browning","ေဆးေရာင္တင္ျခင္း"
"budget","ရသံုး စာရင္း"
"building up forces","တပ္အင္အား စုရံုးျခင္း"
"built up areas (fighthing in)","ၿမိဳ႕တြင္းတိုက္ပြဲ"
"bulldozer","ေျမထိုးစက္"
"bulletin","သတင္းလႊာ"
"by order","အမိန္႕အရ"
"by pass","ေရွာင္သြားျခင္း၊ ကြင္းသြားျခင္း"
"C","Charlie"
"cadet","ဗိုလ္ေလာင္း"
"cadre","တပ္တြင္းသင္တန္း၊ သေႏၶအင္အား"
"cadre personnel","သေႏၶ(စစ္သည္)"
"calibrator frequency(signal)","စက္တြင္း လႈိင္းႏႈန္းညိွျခင္း(ဆက္သြယ္ေရး)"
"calibrator","ေျပာင္းအားညွိ ကိရိယာ"
"calibrating troops","ေျပာင္းအားညွိ တပ္မ်ား"
"calibre","ေျပာင္းအခ်င္း"
"call","အေခၚ၊ ေခၚသည္။"
"camouflage","ရုပ္ဖ်က္ျခင္း"
"camouflage Net","ရုပ္ဖ်က္ပိုက္"
"campaign","တိုက္ပြဲစဥ္"
"canalize","က်ံဳးသြင္းသည္"
"cancle","ပယ္ဖ်က္ျခင္း"
"canvas and webbing","ပတၱဴစႏွင့္အကာစ"
"capability","စြမ္းေဆာင္ႏုိင္မႈ"
"car, vehicle park","ယာဥ္ရပ္ရန္ေနရာ"
"cargo classification","ကုန္အမ်ိဳးအစား ခြဲျခားျခင္း"
"carpenter","လက္သမား"
"carrier bomb","ပစၥည္းခ်ဗံုး"
"cartridge bag(artillery)","ယမ္းအိတ္"
"case file","အမႈတြဲ"
"cashiered","ရႈတ္ခ်၍ ရာထူးမွ ထုပ္ပယ္ျခင္း"
"casualty return","ျဖစ္စဥ္ျပန္တမ္း"
"catalogue","အမ်ိဳးအစားစာရင္း"
"category","အဆင့္အတန္း၊ အမ်ိဳးအစား"
"CE(Chief Engineer)","အင္ဂ်င္နီယာခ်ုဳပ္"
"cease Fire","အပစ္ ရပ္ျခင္း၊ အပစ္ ၿပီးဆံုးျခင္း"
"censor","တရား၀င္ စစ္ေဆး၊ တည္းဖ်က္မႈ"
"censorship","တရား၀င္ စစ္ေဆး၊ တည္းဖ်က္ျခင္း"
"central bank master","ဗဟိုကမ္းေျခအုပ္"
"centralisation","ဗဟိုမွ စုကိုင္ျခင္း"
"centralised control","ဗဟိုမွ စုရံုးႀကီးၾကပ္မႈ"
"central line","ဗဟိုမ်ဥ္း"
"ceremonial","အခမ္းအနား"
"certificate of zeal and ability","ဇြဲႏွင့္ စြမ္းရည္လက္မွတ္"
"chain of command","ဆင့္ကဲ၊ ကြပ္ကဲမႈစနစ္"
"challenge(sentry)","ရင္ဆိုင္ျခင္္း"
"chamber","က်ည္ထိုးအိမ္"
"change of administrative command","အုပ္ခ်ဳပ္မႈအာဏာ ေျပာင္းလႊဲျခင္း"
"channel of supply(system)","ေထာက္ပံ့ေရးစနစ္"
"characteristics","အဂၤါရပ္မ်ား"
"charge","စြဲခ်က္"
"charge alternative","အျခား စြဲခ်က္"
"charge sheet","စြဲခ်က္လႊာ"
"chart","ကားခ်ပ္"
"chartered craft","စင္းလံုးငွားယာဥ္"
"chemical defoliants","ရြက္ေၾကြေစေသာေဆး"
"chemical warfare","ဓါတုေဗဒ စစ္ဆင္ေရး"
"chief instructor","နည္းျပအရာရွိခ်ဳပ္"
"china graph pencil","ေျမပံုေရးဆြဲရာတြင္ အသံုးျပဳေသာ ခဲတံ"
"cipher","ဝွက္စာ"
"circulation file","ေဝငွစာတြဲ"
"circulation letter","ေဝငွစာ"
"circulation ship","ေဝငွလႊာ"
"civil affairs, military government, military administration","စစ္အဖြဲ႕ ၿမိဳ႕နယ္အုပ္ခ်ဳပ္ေရး"
"civil defence","ဲျပည္သူ႕ကာကြယ္ေရး"
"civilian chowkidar","အရပ္သား အေစာင့္"
"civilian employees","အရပ္သား အမႈထမ္းမ်ား"
"civilian labour","အရပ္သား လုပ္သားမ်ား"
"civilian school master","အရပ္သား ေက်ာင္းဆရာ"
"class composition of units","တပ္ဝင္ တိုင္းရင္းသား အမ်ိဳးအစား"
"classroom equipment","စာသင္ခန္းပစၥည္း"
"classification(general term)","အမ်ိဳးခြဲျခင္း"
"classification of casualties","လူနာအမ်ိဳးအစား ခြဲျခားျခင္း"
"clause(legal), paragraph","အပိုဒ္"
"climate","ရာသီဥတု"
"clinometer","ကလိုင္ႏိုမီတာ"
"close arrest","အက်ဥ္းခ်ဴပ္"
"close country","ေတာေတာင္ ထူထပ္ေသာေျမ"
"close defence fire","ခံစစ္ အနီးပစ္"
"close formation","ခပ္စိပ္စိပ္ တပ္ျဖန္႕ျခင္း"
"close sopport fire","အနီးကပ္ပစ္ကူ"
"close sopport troops","အနီးကပ္အကူတပ္"
"code name","အမည္ဝွက္"
"code word","စကားဝွက္"
"collecting point","လူစုရာေနရာ"
"column (MT)","ကားတန္း"
"column(tactical)","စစ္ေၾကာင္း"
"column(formation)","စစ္ေၾကာင္းလိုက္ တပ္ျဖန္႕ခြဲမႈ"
"combat, action, battle","တိုက္ပြဲ"
"combat aviation","ေလေၾကာင္းတိုက္ခိုက္ေရး တပ္မ်ား"
"combat command (HQ)","ကြပ္ကဲမႈဌာနခ်ဳပ္"
"combat command (troops)","ယႏ ၱရားစစ္ဗ်ဴဟာအဖြဲ႕"
"combat team (brigade, RCT)","တပ္မဟာအဖြဲ႕"
"combat troops","တိုက္ခိုက္ေရးတပ္"
"combat zone(front field area)","တိုက္ပြဲနယ္။ ေရွ႕တန္းနယ္"
"combatisation","စစ္သည္အျဖစ္ လြဲေျပာင္းျခင္း"
"combined operation","ေပါင္းစည္း စစ္ဆင္မႈ"
"coming under command","ကြပ္ကဲမႈေအာက္ေရာက္ျခင္း"
"command","စစ္တိုင္း"
"command (tactics)","ကြပ္ကဲမႈ"
"command channel","ကြပ္ကဲမႈစနစ္"
"command post","ကြပ္ကဲမႈဌာန"
"commando operation","ကြန္မန္ဒိုစစ္ဆင္ေရး"
"commit","တာဝန္လႊဲအပ္ၿပီးျဖစ္ျခင္း၊ တာဝန္ေပးျခင္း၊ သံုးျခင္း"
"commitment","တာဝန္ခံရေသာ လုပ္ငန္းမ်ား"
"common goal","အားလံုးဧ။္ ပန္းတိုင္"
"communication center(road)","လမ္းစုမ်ား"
"communication center(signal)","ဗဟိုဆက္သြယ္ေရးရုံး (ေၾကးနန္းရုံး)"
"communication officer","ဆက္သြယ္ေရး အရာရွိ"
"communication reconnaissance","ဆက္သြယ္မႈ ကင္းေထာက္"
"communication zone","လမ္းေၾကာင္းေဒသနယ္"
"communication","ဆက္သြယ္မႈ"
"company headquarters","တပ္ခြဲရုံး"
"compass box","သံလိုက္အိမ္ေျမွာင္ဗူး၊ ေသတၱာ"
"compensation","ေလ်ာ္ေၾကး"
"competent financial authority","ဘ႑ာေရးအာဏာပိုင္"
"compsite retirement","အၿငိမ္းစားယူေစျခင္း"
"conceal","ဖံုးကြယ္ျခင္း"
"concealment","ဖံုးကြယ္မႈ"
"concentrated fire","စုပစ္"
"concentration(mass US)","စုစည္းျခင္း"
"concentration area","(တပ္မ်ား) စုေပါင္းရာအရပ္၊ ေပါင္းရပ္"
"concentration of forces","အင္အားစုျခင္း"
"condemnation board","စစ္ေဆးပယ္ဖ်က္ေရးအဖြဲ႕"
"condemned store","ပယ္ဖ်က္ၿပီးပစၥည္း"
"conduct( of attack/ of battle)","(တိုက္ပြဲ) ကြပ္ကဲျခင္း"
"confidential","အတြင္းေရး"
"confirm","အတည္ျပဳသည္၊ အၿမဲတမ္းခန္႕အပ္သည္"
"confirmatory note","အတည္ျပဳလႊာ(စာ)"
"congestion","ဲျပြတ္သိပ္ေနျခင္း"
"conscription","ျပည္လံုးကၽြတ္ စစ္မႈထမ္း"
"consignee","ကုန္လက္ခံသူ"
"consignor","ကုန္ပို႔သူ"
"consolidation of success","ေအာင္ျမင္မႈကို ခိုင္ၿမဲေစျခင္း"
"consumption","စားသံုးမႈ၊ သံုးစြဲမႈ"
"contact (To Make Contact with the Enemy)","ရန္သူႏွင့္ ထိေတြ႔မႈျဖစ္ျခင္း"
