"endef","mmdef"
"contain the enemy(To)","ရန္သူကို ခ်ဳပ္ထိမ္းထားျခင္း"
"contaminate","အဆိပ္ဓါတ္ေငြ႕ သို႕မဟုတ္ ေရာဂါပိုးပ်ံ႕လြင့္ေနျခင္း၊၎ပ်ံ႕လြင့္လ်က္ ရွိေနေသးျခင္း"
"continuous service","အဆက္မျပတ္ စစ္မႈထမ္းသက္"
"control","ႀကီးၾကပ္ျခင္း"
"control post","ႀကီးၾကပ္ရာေနရာ"
"controlled stores","ကန္႕သတ္ပစၥည္း"
"conventional","သမရုိးက်၊ ထံုးတမ္းစဥ္လာ"
"converging attacks","တစ္ေနရာထဲသို႕ စုဝင္ေသာတိုက္ခိုက္မႈ"
"conviction","အျပစ္ေပး စီရင္ျခင္း"
"convoy","ယာဥ္တန္း"
"cooperation","ပူးေပါင္း ေဆာင္ရြက္ျခင္း"
"coordination","ေပါင္းစပ္ညိွႏႈိင္းျခင္း"
"copper, tin smith","ေၾကးနီ/သံျဖဴရံု"
"copy","မိတၱဴ"
"copy to","မိတၱဴကို"
"corps","တပ္မႀကီး"
"corps maintenance area","တပ္မႀကီး ေထာက္ပံ႔ေရးနယ္"
"correspondence","စာေပးစာယူ"
"counter attack","တန္ျပန္ တိုက္စစ္"
"counter offensive","တန္ျပန္ထိုးစစ္"
"counter signature","ထပ္ဆင့္လက္မွတ္"
"countersign","ေရးထိုးသည္"
"courier","စာပို႕"
"course(in appreciation)","နည္းလမ္း"
"court","တရားရုံး"
"court of inqurity","စံုစမ္းေရးခံုရံုး"
"court of inqurity proceedings","စံုစမ္းေရးခံုရံုး အမႈတြဲမ်ား"
"court martial","စစ္တရားရံုး"
"court martial (district)","တိုင္းစစ္တရားခံုရံုးခ်ဳပ္"
"court martial (general)","စစ္တရားခံုရံုးခ်ဳပ္"
"court martial (summary)","တပ္တြင္းစစ္တရားခံုရံုး"
"court martial proceedings","စစ္တရားခံုရံုး အမႈတြဲမ်ား"
"cover","အကာအကြယ္"
"covering fire","ကာပစ္"
"covering posiyion","ေရွ႕ကာေနရာ"
"covering troops","ေရွ႕ကာတပ္မ်ား"
"craftsman","လက္မႈပညာ တပ္သား"
"credit note","ေငြသြင္းလႊာ"
"cross country","ခရီးၾကမ္း"
"crossfire","လက္ယွက္ထိုး ပစ္ခတ္ျခင္း"
"crossing control officer","ျဖတ္ကူးႀကီးၾကပ္ေရးအရာရွိ"
"current contract","လက္ရွိသေဘာတူစာခ်ဳပ္"
"current expenditure","လက္ငင္းသံုးစားစရိတ္"
"curriculum","သင္ရိုးညႊန္းတမ္း"
"custody","အခ်ဳပ္"
"D","Delta"
"d day","ယ-ရက္"
"daily allowance","ေန႔တြက္စရိတ္"
"daily strength return","ေန႔စဥ္ အင္အားအေျချပစာရင္း"
"danger, zone, space (SA&Arty)","စက္ကြင္းက်ေျမ"
"dawn","အရုဏ္တက္"
"dead space(ground)","က်ဥ္လြတ္ေျမ"
"death gratuity","သက္စြန္႔ဆုေငြ"
"debit","အေၾကြး"
"debit balance","အေၾကြး လက္က်န္"
"deceive","လွည့္စားျခင္း"
"decentralisation","လက္ေအာက္သို႔အာဏာျဖန္႔ေဝမႈ"
"deception camouflage","ေရာင္ျပရုပ္ဖ်က္"
"decisive","အရံႈးအႏိုင္ဆံုးျဖတ္ေသာ၊အဆံုးအျဖတ္ေပးႏုိင္ေသာ"
"decode","ဝွက္စာေဖာ္ျခင္း"
"deep in the rear","အေဝးေနာက္ေၾကာင္း"
"defeat in detail","ထုျဖင္႔ခံစစ္ဆင္ျခင္း"
"defence","ခံစစ္"
"defence in depth","ထုျဖင့္ခံစစ္ဆင္ျခင္း"
"defence line(Line of Defence)","ခံစစ္ေၾကာင္း"
"defence sector","ခံစစ္မ်က္ႏွာ အကန္႔"
"defence witness","တရားခံျပ သက္ေသ"
"defend","ကာကြယ္သည္၊ ေခ်ပသည္၊ ခုခံသည္"
"defend area","ကာကြယ္ထားေသာနယ္"
"defensive fire(DF)","ခံစစ္ပစ္ ပစ္ခတ္ျခင္း"
"defensive fire(SOS)","ခံစစ္ပစ္ ပစ္ခတ္ျခင္း(အေရးႀကီး)"
"defensive fire in depth","ခံစစ္ အေဝးပစ္"
"defensive measures","ကာကြယ္ေရး အစီအစဥ္မ်ား"
"deferred pay","ဆိုင္းထားလစာ"
"defiaded position","ေနာက္ကြယ္ေနရာ"
"defiles","လမ္းက်ဥ္းမ်ား(က်ဥ္းေျမာင္းေသာေနရာမ်ား)"
"definition","သတ္မွတ္ခ်က္၊အဓိပၸါယ္ ေဖာ္ျပခ်က္"
"degree of administrative command","အုပ္ခ်ဳပ္မႈအာဏာ အဆင့္"
"dreege of alertness","ႏုိးၾကားမႈအဆင့္"
"deege of darkness","အေမွာင္ထုအေျခအေန"
"delay","ေႏွာင့္ေႏွးျခင္း"
"delay report","ၾကန္႔ၾကာေၾကာင္းအစီရင္ခံစာ၊ေနာက္ရသတင္း"
"delayed action bomb","စနက္ေႏွးဗံုး"
"delaying action","ဟန္႔စစ္(ေႏွာင္႔ေႏွးေစေသာ တိုက္ပြဲမ်ား/လုပ္ေဆာင္မ်ား)"
"delaying forces","ဟန္႔စစ္ဆင္ေသာ တပ္မ်ား"
"delegation of financial power","ဘ႑ာေရး အာဏာလႊဲအပ္ျခင္း"
"deliberate (Defence)","ႀကိဳတင္စီစဥ္ေသာတိုက္စစ္၊ စီမံျပင္ဆင္ေသာ တိုက္စစ္"
"deliberate fire(Arty)","အေႏွးပစ္"
"deliberate, set piece attack","ႀကိဳတင္စီစဥ္ေသာ တိုက္စစ္၊ စီမံျပင္ဆင္ေသာ တိုက္စစ္"
"delivery period","ေပးသြင္းကာလ"
"demand","ေတာင္းဆိုျခင္း၊ေတာင္းခံျခင္း(ရိကၡာ)"
"demi-official letter","ဒီအိုစာ"
"demolition","ေဖာက္ခြဲဖ်က္ဆီးျခင္း"
"demonstration","သရုပ္ျပ၊သရုပ္ျပျခင္း"
"demurrage","အခ်ိန္ပိုေလ်ာ္ေၾကး"
"department","ဌာန"
"deployment","တပ္ျဖန္႔ျခင္း"
"deployment drill","တပ္ျဖန္႔စစ္ေရးျပ"
"deserter","တပ္ေျပး"
"despatch","စာပို႔ျခင္း"
"destination","ခရီးလမ္းဆံုး၊ ပန္းတိုင္"
"destroy","ဖ်က္ဆီးျခင္း"
"destruction fire","ဖ်က္ဆီးရန္ပစ္ျခင္း၊ ဖ်က္ဆီးရန္ပစ္ခတ္မႈ"
"detach","ခြဲထုတ္သည္၊ ႏုတ္ယူသည္။"
"detachment","ခြဲထုတ္တပ္"
"á®detail(on range)","အဆိုင္း(စက္ပစ္ကြင္း)"
"detail","အေသးစိတ္"
"detonator","မီးကူးတံ"
"á®deviation order","မူေျပာင္းအမိန္႔"
"diagram","ပံုစံ"
"dig in","က်င္းတူး၍ ေနရာယူျခင္း"
"direct support (Unit)","တိုက္ရုိက္ အကူအညီေပးတပ္"
"direct staff (DS)","နည္းျပဆရာအဖြဲ႕"
"direction","အရပ္မ်က္ႏွာ"
"direction of war","စစ္ဦးေဆာင္မႈ"
"direction post","လမ္းျပ မွတ္တိုင္မ်ား"
"directive","ညႊန္ၾကားလႊာ"
"disability pension","နာမစြမ္း အၿငိမ္းစားလစာ"
"disadvantage(to place at a)","အက်ိဳးယုတ္ေစေသာ"
"disband","တပ္ဖ်က္သိမ္းျခင္း"
"discharge","ထြက္ခြင့္ျပဳသည္၊ ထြက္ခြင့္ရသည္"
"discharged","ႏႈတ္ထြက္ေစသည္"
"discharge from the service","စစ္မႈထမ္းမွ ႏႈတ္ထြက္ေစသည္"
"disciplinary action","စည္းကမ္းအရ အေရးယူျခင္း"
"discipline","စည္းကမ္း"
"discipline cases","စည္းကမ္းက်ဴးလြန္သည့္ အမႈအခင္းမ်ား"
"discrepancy","ခၽြတ္ယြင္းခ်က္"
"discussion","ေဆြးေႏြးပြဲ"
"disembody","အရံ စစ္မႈထမ္းအျဖစ္ ျပန္ေျပာင္းေပးျခင္း"
"disengage","တပ္ခြာျခင္း"
"dismiss","ထုပ္ပယ္ျခင္း"
"dispensed with","စစ္မႈထမ္းျခင္းမွ ရပ္စဲလိုက္ျခင္း"
"dispersal control officer","ခြဲလႊတ္ ႀကီးၾကပ္ေရးအရာရွိ"
"dispersal point(Dis P)","ခြဲလႊတ္ေနရာ၊ ခြဲလႊတ္ရပ္"
"dispersal point(vehicle dispersal)","ယာဥ္စု ခြဲလႊတ္ေနရာ၊ ဆံုးထိပ္"
"disperse","ျဖန္႔ျခင္း"
"dispersion","ႀကဲျဖန္႔ထားျခင္း"
"disposal","ထုခြဲျခင္း၊ သင့္ေတာ္သလို ေဆာင္ရြက္ျခင္း"
"disposed on broat front","စစ္မ်က္ႏွာ က်ယ္ျပန္႔စြာ တ္ျဖန္႔ထားျခင္း"
"disposition","ေနရာခ်ထားမႈမ်ား၊ တပ္အေနအထား"
"disrupt","ကြဲပ်က္ေစသည္၊ျဖတ္ေတာက္ျခင္း"
"disseminate","ျဖန္႔ခ်ီျခင္း"
"dissolved","ဖ်က္သိမ္းသည္"
"distant reconnaissance","အေဝး ကင္းေထာက္ျခင္း"
"distributed fire","ခ်ဲပစ္ျခင္း"
"distribution","ျဖန္႔ေဝျခင္း"
"á®á­á­á­dive bombing","စိုက္ထိုး ဗံုးႀကဲျခင္း"
"diversionary attack","စစ္လႊဲ လမ္းလႊဲတိုက္ပြဲ၊ စစ္လႊဲ လမ္းလႊဲတိုက္ခိုက္ျခင္း"
"diversions","စစ္လႊဲမ်ား၊လမ္းလႊဲမ်ား"
"divisional column st","တပ္မေထာက္ပို႕တပ္ရင္း"
"division administrative area","တပ္မ အုပ္ခ်ဳပ္မႈတပ္မ်ားေနရာ"
"divisional administrative lay-out","တပ္မ အုပ္ခ်ဳပ္မႈတပ္မ်ားျဖန္႔ထားပံု"
"dog fight","ေထြးလံုးတိုက္ခိုက္ျခင္း"
"donestic instuctions","တပ္တြင္း ညႊန္းၾကားခ်က္မ်ား"
"dominate","စိုးမိုးျခင္း"
"double action(Piston)","ေမာင္းတင္ ပစ္ေသနတ္"
"draft","မူၾကမ္း"
"draftsman(Mechanical)","ပံုဆြဲ(စက္)"
"drill, parate","စစ္ေရးျပ"
"driver","ယာဥ္ေမာင္း"
"driver mechanical","ယာဥ္ေမာင္းစက္ျပင္"
"drop test(Amn), drop test(Parachute)","ေျမသို႔ခ်၍ စမ္းသပ္ျခင္း"
"dropping zone","ေလေၾကာင္းခ်ကြင္း"
"duj out","ေျမခိုက်င္း"
"dummy","အေရာင္ေဆာင္ ပံုတု"
"dummy position","ေနရာတု"
"dummy round","က်ည္တု"
"dump","ပစၥည္းပံု"
"dumking programme","ၥပစၥည္းစုပံုရန္ အစီအစဥ္၊အခ်ိန္ဇယား"
"duplicate","မိတၱဴႏွစ္ေစာင္"
"duplicate copy","ဒုတိယမိတၱဴ"
"dusk","ဆည္းဆာ"
"duty officer","တာဝန္က်အရာရွိ"
"duty roster","တာဝန္က်ဇယား"
"á®duty sergeand","တာဝန္က် တပ္ၾကပ္ႀကီး"
"E","Echo"
"earned leave","ခံစားထိုက္ေသာ ခြင့္"
"earnest money","စေပၚေငြ"
"echelon","အဆင့္ဆင့္၊ တပ္ဖြဲ႔အဆင့္၊လုပ္ငန္းအဆင့္၊ယာဥ္စု"
"echelon formation","အဖြဲ႔လိုက္ တပ္ျဖန္႔မႈ"
"economic warfare","စီးပြားေရး စစ္ဆင္ျခင္း"
"economy","ေျခြတာေရး"
"economy of force","အင္အားစု ျခိဳးၿခံျခင္း"
"effective deaten zone","ထိေရာက္ေသာ က်ဥ္က်ေျမ၊ က်ဥ္ခေျမ"
"effective range","ထိေရာက္မႈ အကြာအေဝး"
"electrical","လ်ွပ္စစ္၊လ်ွပ္စစ္ႏွင့္ဆိုင္ေသာ"
"electrical engineer","လ်ွပ္စစ္အင္ဂ်င္နီယာ"
"electrical and mechanial engineer","လ်ွပ္စစ္ႏွင့္စက္မႈအင္ဂ်င္နီယာ"
"electrician","လ်ွပ္စစ္ျပင္"
"electrician (Armoured Fighting Vehicle)","လ်ွပ္စစ္ျပင္(တိုက္ယာဥ္)"
"electrician (Vehicle and Plant)","လ်ွပ္စစ္ျပင္(ယာဥ္ႏွင့္စက္)"
"elecyronics","အီလက္ထေရာနစ္"
"elements of War","စစ္၏မူလအခ်က္(အပိုင္း)မ်ား"
"elevation","အျမင့္၊ေထာင့္ျမင့္"
"embarkation","သေဘၤာတက္ျခင္း"
"embody","တမ္းျပည့္စစ္မႈထမ္းေခၚယူျခင္း"
"emergency Commission","အေရးေပၚ ျပန္တမ္းဝင္"
"encircle","ဝိုင္းထားျခင္း၊ အဝိုင္းခံရျခင္း"
"enclosure(Attached Papers)","ပူးတြဲပါ"
"encode","ဝွက္ျခင္း"
"encounter battle","ရင္ဆိုင္တိုက္ပြဲ"
"ending signs","အဆံုးသတ္ လကၡဏာ"
"endorsement","ေထာက္ခံခ်က္"
"enemy","ရန္သူ"
"energetic","အားတက္သေရာ၊အားႀကိဳးမာန္တက္၊ထၾကြလံုးလဝီရိယ"
"enfilade Fire","ေဘးတိုက္ပစ္"
"engage(The Enemy)","ရန္သူႏွင့္စတင္တိုက္ခိုက္ျခင္း"
"enhancement of contract rate","သေဘာတူညီမႈႏွုန္းတိုးျမင့္ျခင္း"
"enlistment","စစ္ထဲဝင္ျခင္း"
"enplacements","အေျမာက္ခံု/အထိုင္မ်ား"
"enplane","ေလယာဥ္ေပၚတက္ျခင္း"
"entrench","က်င္းတူး၍ေနရာယူျခင္း"
"envelope(To Envelope)","ပတ္တိုက္ျခင္း၊ပတ္တက္ျခင္း"
"envelopment","နဂါးပတ္တက္စစ္"
"envelopment, double","ေဘးနံႏွစ္ဘက္မွပတ္တက္ျခင္း၊ပတ္တိုက္ျခင္း"
"equipment","ပစၥည္း(အေျမာက္၊လက္နက္၊ယာဥ္၊စက္ကိရိယာစသည့္အားလံုးခ်ံဳ၍ေခၚျခင္း)"
"escort(To)","အေစာင့္လိုက္ျခင္း"
"esprit de corps","တပ္ဖြဲ႔စိတ္"
"establish","တည္္ေထာင္ျခင္း၊ဖြဲ႔စည္းျခင္း"
"establishments","အဖြဲ႔အစည္းမ်ား၊အေဆာက္အအံု"
"estimate","မွန္းေျခ"
"estimate requirements","လိုအပ္ခ်က္မွန္းေျခ"
"evacuation","ေနာက္ပိုင္းသို႔ပို႕ေဆာင္ျခင္း"
"evacuation of casualty","လူနာေရႊ႕ထုတ္ျခင္း"
"evacuation of information","သတင္းအကဲျဖတ္ျခင္း"
"even number","စာအမွတ္တူ"
"evidence","ထြက္ခ်က္၊သက္ေသခံခ်က္"
"evidence(Abstract of)","သက္ေသခံခ်က္အတို"
"evidence(Admissible)","ဥပေဒအရလက္ခံႏုိင္ေသာ ထြက္ခ်က္"
"evidence (Direct)","တိုက္ရုိက္သက္ေသခံခ်က္မ်ား"
"evidence (Inadmiaaible)","ဥပေဒအရလက္မခံႏုိင္ေသာ ထြက္ခ်က္"
"evidence(Law of)","သက္ေသခံျခင္း၊ဥပေဒ"
"evidence(Uncollaborated)","ေထာက္ထားမရွိေသာထြက္ခ်က္"
"examination","စစ္ေဆးျခင္း၊စာေမးပြဲ"
"examination eoart","စာစစ္အဖြဲ႔"
"examination centre","စာစစ္ဌာန"
"excess baggage","ဝန္ပို"
"exchange boucher","လဲလွယ္ခြင့္ေဘာင္ခ်ာ"
"excursion","ပညာရွာခရီးထြက္ျခင္း"
"exercise","ေလ႔က်င့္ခန္း"
"exhibit","သက္ေသခံတင္ျပခ်က္၊သက္ေသခံပစၥည္း၊သက္ေသခံစာ"
"expedite","အျမန္ေဆာင္ရြက္ေစျခင္း"
"expedition, expeditionary force","ႏုိင္ငံျခားခ်ီတပ္မ်ား(ဥပမာ-အာဖရိကခ်ီ မဟာမိတ္တပ္ေပါင္းစု)"
"expenditure","အသံုးစရိတ္"
"experiment","စမ္းသပ္ခ်က္"
"explanation","ရွင္းလင္းခ်က္၊ထုေခ်ခ်က္"
"exploitation","ေအာင္ေျမခ်ဲ႕ျခင္း၊အျမတ္ထုတ္ျခင္း"
"exploiting forces","အျမတ္ထုတ္တိုက္ခိုက္ေသာတပ္မ်ား၊ေအာင္ေျမခ်ဲ႕ေသာတပ္မ်ား"
"explosion","ေပါက္ကြဲျခင္း"
"explosives","ယမ္းဘီလူး"
"export","ထြက္ကုန္၊ျပည္ပပို႔ကုန္"
"extracts","ေကာက္ႏုတ္ခ်က္"
"extent(A Manoeuvre)","တပ္ဆန္႔ျခင္း"
"extended line","ရင္ေပါင္းတန္း တပ္ျဖန္႔ခြဲျခင္း"
"exterior line(Attack)","အျပင္စစ္ေၾကာင္း"
"exterior line (Def)","အျပင္ခံစစ္ေၾကာင္း"
"extra regiemntal embloyemnt","တပ္ရင္းျပင္ပတာဝန္ထမ္းေဆာင္သူ"
"F","Foxtrot"
"fair copy","စာမူေခ်ာ"
"fall out(Atomic)","အႏုျမဴျပာမိုး"
"family pension","အိမ္ေထာင္စုဝင္မ်ားအၿငိမ္းစာလစာ"
"amily tree","မ်ိဳးရိုးစဥ္ဆက္ေဖာ္ျပဇယား"
"fatigue","လူမႈဝန္ထမ္း"
"f echelon","တိုက္ယာဥ္စု"
"feint attack","ေယာင္ျပတိုက္ပြဲ"
"feints(Operation)","ေယာင္ျပစစ္ဆင္မႈမ်ား"
"field","စစ္ေျမျပင္"
"field army","စစ္ေျမျပင္တပ္ေတာ္၊ တပ္ေတာ္"
"FDS/field hospital","စစ္ေျမျပင္ေဆးရံု"
"fieldcraft","စစ္ေျမျပင္ကၽြမ္းက်င္မႈမ်ား"
"field fortications","စစ္ေျမျပင္ခံတပ္မ်ား"
"field medical card","စစ္ေျမျပင္ေဆးကုမွတ္တမ္း"
"field of fire","ပစ္ကြင္း"
"field officer(Duty)","တာဝန္မႈး"
"field rank","ဗိုလ္မႈးႏွင့္ အထက္အရာရွိ"
"field service regulation(Pamphlet)","စစ္ေျမျပင္လက္စြဲက်မ္း"
"field transfusion team","စစ္ေျမျပင္ေသြးျဖည့္တင္းေရးအဖြဲ႕"
"fighter aircaft","တိုက္ေလယာဥ္"
"fighter group","တိုက္ေလယာဥ္ တပ္မ"
"fighting arms","လက္ရံုး တပ္ဖြဲ႕မ်ား"
"file","ဖိုင္တြဲ"
"final settlement","ေနာက္ဆံုးေငြစာရင္းရွင္းတမ္း"
"financial limit","ဘ႑ာေရး အကန္႕အသတ္"
"financial regulation","ဘ႑ာေရး စည္းမ်ဥ္း"
"finding","ေတြ႔ရွိခ်က္၊ ေကာက္ခ်က္"
"finding(Special)","အထူးေတြ႔ရွိခ်က္၊ ေကာက္ခ်က္"
"fire","ပစ္ခတ္မႈ"
"Fire control","ပစ္ခတ္မႈ ထိန္းသိမ္းျခင္း၊ ပစ္အားထိမ္းသိမ္းျခင္း"
"Fire control equipment","ပစ္ခတ္မႈ ကိရိယာ(အေျမာက္)"
"fire control order","ပစ္ခတ္မႈထိန္းသိမ္းျခင္းအမိန္႕၊ပစ္ခတ္ရန္အမိန္႕၊ပစ္မိန္႕"
"fire lane","ပစ္လမ္း"
"fire plan","ပစ္ခတ္မႈ စီမံခ်က္"
"fire power","ပစ္အား"
"fire superiority","ပစ္အားအေရးသာျခင္း"
"fire support","ပစ္ကူ"
"firing data","ပစ္ခတ္ရန္ အခ်က္အလက္"
"firm base","အခိုင္အမာ အေျချပဳစခန္း"
"first light","လင္းစ၊ အလင္းေရာင္ေပၚစ"
"first line ammunition","ပထမအဆင့္ ခဲယမ္းမီးေက်ာက္"
"first line stores","ပထမအဆင့္ ပစၥည္း(ဥပမာ-သံဆူးႀကိဳးစသည့္)"
"first line task(e.g.EME)","ပထမအဆင့္ လုပ္ငန္း(ဥပမာ-လွ်ပ္စစ္စသည့္)"
"first line transport","ပထမအဆင့္ ပို႕ေဆာင္ေရးအုပ္စု(ဥပမာ-ယာဥ္၊လား စသည့္)"
"fitter","စက္ျပင္"
"fitter(General Service)","စက္ျပင္(အေထြေထြ)"
"fixed","ပံုေသ"
"fixed line fire","ပံုေသ ခ်ိန္ထားျခင္း၊ ပံုေသပစ္ေၾကာင္း"
"á¤flag march","အလံျပ စစ္ခ်ီျခင္း၊ စစ္ခ်ီျခင္း"
"flame thrower","နဂါးစက္၊မီးေသနတ္"
"flank","စစ္နံ၊ ေဘးနံ၊ ေတာင္ပံ"
"flank guard","ေဘးရံတပ္"
"flare","မီးက်ည္"
"flash(Artillery)","မီးလွ်ပ္"
"flat trajectory","က်ည္လမ္းေျဖာင့္ေသာ"
"flexible","ေျပာင္းလြယ္ျပင္လြယ္ေသာ၊လြယ္ကူစြာ၊ေျပာင္းႏုိင္ေသာ၊မူရွင္ျဖစ္ေသာ"
"flick frequency","လိႈင္းႏႈန္းေသ"
"flick character(of Operation)","မသဲကြဲေသးေသာ/အဆံုးအျဖတ္ မေပးႏိုင္ေသးေသာ အေျခအေန(တိုက္ပြဲ၏)"
"follow-up","ဆက္လိုက္ၿခင္း"
"follow-up forces(Troops)","ဆက္လိုက္ တပ္မ်ား"
"foot path","လမ္းငယ္"
"for action","အေရးယူရန္"
"for compliance","လိုက္နာေဆာင္ရြက္ရန္"
"for disposal","သင့္ေတာ္သလိုေဆာင္ရြက္ရန္"
"for information","သိရွိရန္"
"forecast","မွန္းဆခ်က္၊ ခန္႕မွန္းခ်က္"
"forecast of strength","အင္အားႀကိဳတင္ခန္႕မွန္းခ်က္"
"forces","အင္အားစုမ်ား"
"force commander","တပ္ဖြဲ႔မ်ား"
"foreced marches","အျပင္းခ်ီတက္မႈမ်ား"
"foreground","အနီးျမင္ကြင္း"
"formal/ official letter","ရံုးစာ"
"formal sanction","နည္းလမ္းတက်ခြင့္ျပဳအမိန္႕"
"formation(Battle Formation)","တပ္ျဖန္႕ခြဲမႈ၊တပ္ျဖန္႔မႈ"
"formation of line","အတန္းလိုက္ တပ္ျဖန္႕ခြဲမႈ/တပ္ျဖန္႔မႈ"
"forming up place(FUP)","စီရပ္"
"fortifications","ခံတပ္မ်ား"
"fortified areas","ခံတပ္ေဆာက္လုပ္ထားေသာ ေဒသ"
"fortnightly operation casualties","(၇)ရက္ (၂)ပတ္ တိုက္ပြဲျဖစ္စဥ္ ျပန္တမ္း"
"forwarded  area","ေရွ႕တန္း(ေနရာ)"
"frward defened locality(FDL)(Line of Outposts)","ေရွ႕ခံစစ္စည္း(ခံစစ္)"
"forward link","ေရွ႕စံုတြဲ"
"forward maintentenance","ေရွ႕တန္းေထာက္ပံ့ေရးနယ္"
"forward observation officer(F.O.O)","ေရွ႕တန္းအကဲၾကည့္အရာရွိ"
"forward sector, battle front","ေရွ႕တန္းစစ္မ်က္ႏွာ"
"forward slope","ေရွ႕ဆင္ေျခေလ်ာ"
"forwarded","ဆက္လက္ေပးပို႕သည္"
"forwarded herewith","ႏွင့္အတူ ေပးပို႕သည္"
"fox hole","တစ္ေယာက္ ပစ္က်င္း"
"fragmentation","အစိပ္စိပ္ အမႊာမႊာ ေပါက္ကြဲျခင္း"
"frame work","ေဘာင္ေခြျပ ပံုစံ၊ ေဘာင္ေခြျပ ပံုၾကမ္း"
"frame work of defence","ခံစစ္၊ ေဘာင္ေခြ"
"free on sea passage","ပင္လယ္ခရီးသြားႏိုင္ရန္ အခြင့္အေရး"
